"name","Closing price","Volume","Adjusted closing price","date"
"AMGN",160.36,3238437,160.36,2015-05-01
"AMGN",162.11,3496246,162.11,2015-05-04
"AMGN",159.44,3085976,159.44,2015-05-05
"AMGN",158.95,3762665,158.95,2015-05-06
"AMGN",157.9,4373959,157.9,2015-05-07
"AMGN",162.34,4664237,162.34,2015-05-08
"AMGN",161.05,2723844,161.05,2015-05-11
"AMGN",158.24,4359734,158.24,2015-05-12
"AMGN",158.39,2637673,158.39,2015-05-13
"AMGN",161.98,2717473,161.98,2015-05-14
"AMGN",162.36,2370938,162.36,2015-05-15
"AMGN",163.44,2131337,163.44,2015-05-18
"AMGN",163.56,1717968,163.56,2015-05-19
"AMGN",163.98,2005037,163.98,2015-05-20
"AMGN",163.84,2095589,163.84,2015-05-21
"AMGN",163.58,1621089,163.58,2015-05-22
"AMKR",8.53,1306268,8.53,2015-04-23
"AMKR",8.13,2026329,8.13,2015-04-24
"AMKR",7.94,2424861,7.94,2015-04-27
"AMKR",7.46,5376736,7.46,2015-04-28
"AMKR",7.11,2374341,7.11,2015-04-29
"AMKR",7.03,2167396,7.03,2015-04-30
"AMKR",7.16,1434793,7.16,2015-05-01
"AMKR",7.12,1251648,7.12,2015-05-04
"AMKR",6.81,2780820,6.81,2015-05-05
"AMKR",6.61,2828904,6.61,2015-05-06
"AMKR",6.93,1667215,6.93,2015-05-07
"AMKR",7.02,1399258,7.02,2015-05-08
"AMKR",6.97,1132486,6.97,2015-05-11
"AMKR",6.9,1008641,6.9,2015-05-12
"AMKR",6.951,1225396,6.951,2015-05-13
"AMKR",6.98,953912,6.98,2015-05-14
"AMKR",7.11,744262,7.11,2015-05-15
"AMKR",6.975,1080619,6.975,2015-05-18
"AMKR",6.87,854911,6.87,2015-05-19
"AMKR",6.83,757023,6.83,2015-05-20
"AMKR",6.76,730119,6.76,2015-05-21
"AMKR",6.8,864740,6.8,2015-05-22
"AMNB",21.93,7619,21.93,2015-04-23
"AMNB",22.24,10887,22.24,2015-04-24
"AMNB",22.11,10935,22.11,2015-04-27
"AMNB",22.8,8477,22.8,2015-04-28
"AMNB",22.66,12345,22.66,2015-04-29
"AMNB",22.51,16142,22.51,2015-04-30
"AMNB",22.78,15916,22.78,2015-05-01
"AMNB",22.57,13372,22.57,2015-05-04
"AMNB",22.49,22267,22.49,2015-05-05
"AMNB",22.4,12336,22.4,2015-05-06
"AMNB",22.62,9062,22.62,2015-05-07
"AMNB",22.5,7905,22.5,2015-05-08
"AMNB",22.29,25840,22.29,2015-05-11
"AMNB",22.22,14220,22.22,2015-05-12
"AMNB",22.13,8377,22.13,2015-05-13
"AMNB",22.24,7942,22.24,2015-05-14
"AMNB",22.1,9780,22.1,2015-05-15
"AMNB",22.39,11675,22.39,2015-05-18
"AMNB",22.45,9411,22.45,2015-05-19
"AMNB",22.35,9016,22.35,2015-05-20
"AMNB",22.36,5745,22.36,2015-05-21
"AMNB",22.195,6171,22.195,2015-05-22
"AMP",127.17,4336432,126.49351012306,2015-04-23
"AMP",127.75,1519713,127.07042477173,2015-04-24
"AMP",126.69,1528913,126.01606351727,2015-04-27
"AMP",127.14,1351534,126.4636697102,2015-04-28
"AMP",127.49,1460315,126.81180786026,2015-04-29
"AMP",125.28,1321905,125.28,2015-04-30
"AMP",125.41,1190978,125.41,2015-05-01
"AMP",125.99,1011788,125.99,2015-05-04
"AMP",124.62,1120636,124.62,2015-05-05
"AMP",123.49,1629077,123.49,2015-05-06
"AMP",124.56,1494349,124.56,2015-05-07
"AMP",126.35,1469011,126.35,2015-05-08
"AMP",125.42,1106668,125.42,2015-05-11
"AMP",124.73,975750,124.73,2015-05-12
"AMP",126.5,1819385,126.5,2015-05-13
"AMP",128.3,956667,128.3,2015-05-14
"AMP",128,1112502,128,2015-05-15
"AMP",128.97,1092367,128.97,2015-05-18
"AMP",128.97,881971,128.97,2015-05-19
"AMP",128.46,996767,128.46,2015-05-20
"AMP",128.29,754449,128.29,2015-05-21
"AMP",128.27,730276,128.27,2015-05-22
"AMPE",2.89,1609055,2.89,2015-04-23
"AMPE",2.73,1563840,2.73,2015-04-24
"AMPE",2.64,1910364,2.64,2015-04-27
"AMPE",2.67,1508546,2.67,2015-04-28
"AMPE",2.55,902753,2.55,2015-04-29
"AMPE",2.41,1027781,2.41,2015-04-30
"AMPE",2.47,854160,2.47,2015-05-01
"AMPE",2.5,443221,2.5,2015-05-04
"AMPE",2.36,588791,2.36,2015-05-05
"AMPE",2.36,710258,2.36,2015-05-06
"AMPE",2.33,458437,2.33,2015-05-07
"AMPE",2.43,538753,2.43,2015-05-08
"AMPE",2.4,343153,2.4,2015-05-11
"AMPE",2.33,457983,2.33,2015-05-12
"AMPE",2.3,385572,2.3,2015-05-13
"AMPE",2.29,548117,2.29,2015-05-14
"AMPE",2.31,318125,2.31,2015-05-15
"AMPE",2.33,377192,2.33,2015-05-18
"AMPE",2.14,632569,2.14,2015-05-19
"AMPE",2.03,1144684,2.03,2015-05-20
"AMPE",2.41,8195689,2.41,2015-05-21
"AMPE",2.27,872371,2.27,2015-05-22
"AMRC",7.3,26993,7.3,2015-04-23
"AMRC",7.18,54400,7.18,2015-04-24
"AMRC",7.12,64507,7.12,2015-04-27
"AMRC",7.33,28248,7.33,2015-04-28
"AMRC",7.19,17842,7.19,2015-04-29
"AMRC",6.72,115742,6.72,2015-04-30
"AMRC",6.76,62835,6.76,2015-05-01
"AMRC",6.73,54163,6.73,2015-05-04
"AMRC",6.55,63828,6.55,2015-05-05
"AMRC",6.58,57962,6.58,2015-05-06
"AMRC",6.53,208657,6.53,2015-05-07
"AMRC",6.51,59202,6.51,2015-05-08
"AMRC",6.55,132170,6.55,2015-05-11
"AMRC",6.81,46599,6.81,2015-05-12
"AMRC",6.97,71897,6.97,2015-05-13
"AMRC",7.24,81251,7.24,2015-05-14
"AMRC",7.34,50332,7.34,2015-05-15
"AMRC",7.32,39086,7.32,2015-05-18
"AMRC",7.35,50964,7.35,2015-05-19
"AMRC",7.28,16917,7.28,2015-05-20
"AMRC",7.3,50129,7.3,2015-05-21
"AMRC",7.23,76613,7.23,2015-05-22
"AMRI",19.04,395445,19.04,2015-04-23
"AMRI",19.08,311710,19.08,2015-04-24
"AMRI",18.99,548216,18.99,2015-04-27
"AMRI",18.77,497600,18.77,2015-04-28
"AMRI",18.22,482367,18.22,2015-04-29
"AMRI",18.06,568107,18.06,2015-04-30
"AMRI",17.97,480827,17.97,2015-05-01
"AMRI",18.63,608035,18.63,2015-05-04
"AMRI",18.97,1391714,18.97,2015-05-05
"AMRI",18.51,936603,18.51,2015-05-06
"AMRI",19.5,721136,19.5,2015-05-07
"AMRI",19.2,614765,19.2,2015-05-08
"AMRI",18.955,473059,18.955,2015-05-11
"AMRI",19.14,462458,19.14,2015-05-12
"AMRI",19,227336,19,2015-05-13
"AMRI",19.43,220435,19.43,2015-05-14
